State_Year,Year,State,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G,Count
2013_PA,2013,PA,28484645.0,28495118.0,554067.0,1755236.0,69992
2013_RI,2013,RI,2282659.0,2231413.0,43270.0,142008.0,6734
2013_SC,2013,SC,8254462.0,8224795.0,211835.0,745657.0,29380
2013_SD,2013,SD,1316613.0,1332496.0,36639.0,130890.0,5494
2013_TN,2013,TN,9008032.0,9248235.0,283888.0,993556.0,48970
2013_TX,2013,TX,49734537.0,50674724.0,1411436.0,5153702.0,148356
2013_UT,2013,UT,4300793.0,4584624.0,174129.0,625461.0,15578
2013_VA,2013,VA,15322318.0,15634918.0,377252.0,1273825.0,37362
2013_VT,2013,VT,1817307.0,1809138.0,27233.0,88690.0,6940
2013_WA,2013,WA,12242231.0,12097549.0,328068.0,1058936.0,82460
2013_WI,2013,WI,11097447.0,10845059.0,264739.0,874414.0,27604
2013_WY,2013,WY,1695967.0,1675477.0,26449.0,92732.0,5062
2014_AK,2014,AK,2663647.0,2727056.0,38431.0,131176.0,8316
2014_AL,2014,AL,7357267.0,7587737.0,221068.0,744164.0,22244
2014_AR,2014,AR,5193218.0,5242672.0,141653.0,490917.0,14542
2014_AZ,2014,AZ,8361708.0,8109460.0,331552.0,1111695.0,47532
2014_CA,2014,CA,72389126.0,72506810.0,1949755.0,6312161.0,604312
2014_CO,2014,CO,9162406.0,9286626.0,254643.0,889006.0,48102
2014_CT,2014,CT,10743919.0,10201500.0,167790.0,542678.0,23250
2014_DC,2014,DC,1342220.0,1313289.0,17634.0,80958.0,39920
2014_DE,2014,DE,1954374.0,1988535.0,39346.0,134042.0,4154
2014_FL,2014,FL,26077462.0,26523658.0,823249.0,2756944.0,207228
2014_GA,2014,GA,17821620.0,17668352.0,501605.0,1744437.0,80986
2014_HI,2014,HI,2696766.0,2504144.0,50925.0,182384.0,34062
2014_IA,2014,IA,6455928.0,6541553.0,145862.0,505311.0,13868
2014_ID,2014,ID,2084970.0,2012852.0,85232.0,290885.0,9822
